crit_elem,import_pct,import_source,reliance_cat_desc,reliance_cat,import_cat_desc,import_cat
Aluminum,0.75, Jamaica,ally,1,50%<Imports<=75%,2
Antimony,0.83, China,competitor,3,Imports>75%,3
Arsenic,1, China,competitor,3,Imports>75%,3
Barite,0.75, China,competitor,3,50%<Imports<=75%,2
Beryllium,0.11,USA,Self Sufficient,0,Imports <=50%,1
Bismuth,0.96, China,competitor,3,Imports>75%,3
Cesium,1,Germany,ally,1,Imports>75%,3
Chromium,0.83, South Africa,neutral,2,Imports>75%,3
Cobalt,0.76, Norway,ally,1,Imports>75%,3
Fluorspar,1, Mexico,ally,1,Imports>75%,3
Gallium,1, China,competitor,3,Imports>75%,3
Germanium,0.5, China,competitor,3,Imports <=50%,1
Graphite ,1, China,competitor,3,Imports>75%,3
Hafnium,Net exporter,,Self Sufficient,0,Net exporter,0
Indium,1, Republic of Korea,ally,1,Imports>75%,3
Lithium,0.25, Argentina,ally,1,Imports <=50%,1
Magnesium,0.5, Israel,ally,1,Imports <=50%,1
Manganese,1, Gabon,neutral,2,Imports>75%,3
Nickel,0.56, Canada,ally,1,50%<Imports<=75%,2
Niobium,1, Brazil,neutral,2,Imports>75%,3
Rubidium,1,Germany,ally,1,Imports>75%,3
Scandium,1, Europe,ally,1,Imports>75%,3
Tantalum,1, China,competitor,3,Imports>75%,3
Tellurium,0.75, Canada,ally,1,50%<Imports<=75%,2
Tin,0.77, Peru,neutral,2,Imports>75%,3
Titanium,0.95, Japan,ally,1,Imports>75%,3
Tungsten,0.5, China,competitor,3,Imports <=50%,1
Vanadium,0.54, Canada,ally,1,50%<Imports<=75%,2
Yttrium,1, China,competitor,3,Imports>75%,3
Zinc,0.76, Canada,ally,1,Imports>75%,3
Zirconium,0.5, South Africa,neutral,2,Imports <=50%,1
Rare Earth,0.95,China,competitor,3,Imports>75%,3
Iridium,No data available,NA,NA,NA,NA,NA
Palladium,0.26, Russia,competitor,3,Imports <=50%,1
Platinum,0.66, South Africa,neutral,2,50%<Imports<=75%,2
Rhodium,No data available,NA,NA,NA,NA,NA
Ruthenium,No data available,NA,NA,NA,NA,NA
